,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,80.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,2.30196374309375,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,29.711573896,2192740.0,2171088.196
std,0.1165754014110075,0.0,0.0,0.0,0.0,0.0,0.6062799218811666,37587.780477719636,39407.60830230238
min,2.158249666,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,27.992997,1923000.0,1899852.0
25%,2.1612138821499998,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,29.298611,2198000.0,2172765.75
50%,2.3812772105,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,29.718273,2198000.0,2180627.5
75%,2.4002598375,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,30.153478,2211000.0,2188454.0
max,2.430827322,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,31.428006,2260000.0,2236324.0
