,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,95.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,3.4884749083663165,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.170249371,2204811.0,2164379.134
std,0.48142638620525785,0.0,0.0,0.0,0.0,0.0,0.616064961296429,52934.74630492118,52000.603846960206
min,3.1064155441,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,26.392065,1623000.0,1608932.0
25%,3.1087101984,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,27.744308,2210000.0,2167078.25
50%,3.1091589012,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.148427,2210000.0,2169081.5
75%,4.0172186195,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.587517750000004,2210000.0,2171301.0
max,4.227229783,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,30.137935,2236000.0,2210974.0
