,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,10.0,5.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,4.578,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,42957.534534534534,0.0,0.0,0.0,3746698.6986986985,746180.1801801802,5017963.963963964,42957.04704704705
std,0.7639633499062634,0.0,0.0,0.0,0.0,0.0,730.3820263172508,0.0,0.0,0.0,55891.77120547603,11136.85892975259,2873.8860702875277,730.6216989130791
min,4.21,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,40407.0,0.0,0.0,0.0,2969000.0,591000.0,5010000.0,40407.0
25%,4.2125,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,42355.0,0.0,0.0,0.0,3748000.0,747000.0,5019000.0,42355.0
50%,4.22,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,42842.0,0.0,0.0,0.0,3751000.0,747000.0,5019000.0,42842.0
75%,4.22,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,43329.0,0.0,0.0,0.0,3755000.0,748000.0,5019000.0,43329.0
max,6.12,100000.0,1000000.0,1000000.0,1000000.0,1000000.0,44790.0,0.0,0.0,0.0,3771000.0,750000.0,5019000.0,44790.0
