frequency,power,task,island,voltage,time,howmany,time_rel
200000,275563.7214912281,gzip-5,big,912516.447368421,22.59777777777777,3,0.6516396725460981
300000,405187.8640350877,gzip-5,big,911381.5789473684,14.96,3,0.4313932811073196
400000,533703.0328947369,gzip-5,big,910309.7587719298,11.182222222222222,3,0.3224555838579965
500000,648434.4210526316,gzip-5,big,900986.8421052631,8.936111111111112,3,0.2576857147434357
600000,772909.8311403509,gzip-5,big,902154.605263158,7.453888888888888,3,0.2149436888226718
700000,897355.5614035088,gzip-5,big,902535.6359649122,6.385555555555555,3,0.1841367488505471
800000,1054148.2192982456,gzip-5,big,916107.4561403508,5.589444444444443,3,0.1611797311802117
900000,1254999.0986842106,gzip-5,big,941444.6271929824,4.97111111111111,3,0.1433491933804328
1000000,1471721.8684210526,gzip-5,big,967472.5877192982,4.479444444444445,3,0.1291712724884254
1100000,1713193.4978070175,gzip-5,big,993752.7412280702,4.0744444444444445,3,0.1174925105333141
1200000,1972074.855263158,gzip-5,big,1019923.245614035,3.739444444444445,3,0.1078323000272344
1300000,2256182.5789473685,gzip-5,big,1046003.2894736842,3.453888888888889,3,0.0995978917351532
1400000,2563123.4736842103,gzip-5,big,1072571.2719298245,3.223333333333333,3,0.0929494881530254
1500000,2898715.9692982454,gzip-5,big,1099468.201754386,3.010555555555555,3,0.0868137325579532
1600000,3357705.372807017,gzip-5,big,1138629.3859649124,2.826666666666666,3,0.0815110299418464
1700000,3859211.989035088,gzip-5,big,1177785.0877192982,2.664,3,0.0768203008602874
1800000,4439882.78508772,gzip-5,big,1217746.7105263155,2.522,3,0.0727255250636804
1900000,5279035.644736842,gzip-5,big,1270792.214912281,2.3920000000000003,3,0.0689767866583361
2000000,6145927.25877193,gzip-5,big,1318574.5614035088,2.564,3,0.0739366559330994
