frequency,power,task,island,voltage,time,howmany,time_rel
200000,198490.9188596492,cachekiller,big,913763.7061403508,8.713333333333335,3,1.3911655135710488
300000,277615.5416666667,cachekiller,big,912532.894736842,6.317222222222223,3,1.0086038673053044
400000,350783.0504385965,cachekiller,big,912516.447368421,5.263888888888889,3,0.8404293063686359
500000,415315.16228070174,cachekiller,big,911641.995614035,4.737222222222223,3,0.7563420259003018
600000,481410.0307017544,cachekiller,big,911356.9078947369,4.389444444444445,3,0.7008160368990599
700000,534284.2565789474,cachekiller,big,907502.7412280702,4.198888888888889,3,0.6703920525102005
800000,605838.1184210526,cachekiller,big,913684.2105263158,4.047777777777778,3,0.6462657441901722
900000,704437.201754386,cachekiller,big,939092.653508772,3.945,3,0.6298563065460352
1000000,814594.9035087719,cachekiller,big,964492.8728070176,3.880555555555555,3,0.6195671456448465
1100000,932683.9298245612,cachekiller,big,990021.9298245612,3.8327777777777774,3,0.6119389746318964
1200000,1061412.375,cachekiller,big,1016200.6578947369,3.795,3,0.6059073975518894
1300000,1197516.61622807,cachekiller,big,1041285.6359649122,3.776666666666666,3,0.602980308674827
1400000,1345695.1140350876,cachekiller,big,1067234.100877193,3.7783333333333338,3,0.603246407663651
1500000,1508202.5438596492,cachekiller,big,1092746.7105263155,3.7538888888888895,3,0.5993436224942347
1600000,1733956.8223684211,cachekiller,big,1131225.3289473683,3.757222222222222,3,0.5998758204718823
1700000,1980699.9144736845,cachekiller,big,1169747.8070175438,3.652666666666667,3,0.5831825439063333
1800000,2259807.013157895,cachekiller,big,1208736.2938596492,3.6573333333333338,3,0.58392762107504
1900000,2637666.6184210526,cachekiller,big,1259780.701754386,3.65,3,0.5827567855242151
2000000,3185874.0504385964,cachekiller,big,1323944.6271929825,3.6520000000000006,3,0.5830761043108038
