,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,10.0,5.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,2.2659999999999996,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,44320.06206206206,0.0,0.0,0.0,4104526.4994994993,817763.7637637637,5017819.81981982,44320.06206206206
std,0.005163977794943342,0.0,0.0,0.0,0.0,0.0,1141.988657711115,0.0,0.0,0.0,93888.02161464034,18778.378610912016,3039.415018531908,1141.988657711115
min,2.26,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,39920.0,0.0,0.0,0.0,3045000.0,607000.0,5010000.0,39920.0
25%,2.26,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,43816.0,0.0,0.0,0.0,4110000.0,819000.0,5019000.0,43816.0
50%,2.27,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,44303.0,0.0,0.0,0.0,4114000.0,820000.0,5019000.0,44303.0
75%,2.27,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,45277.0,0.0,0.0,0.0,4118000.0,821000.0,5019000.0,45277.0
max,2.27,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,46738.0,0.0,0.0,0.0,4255000.0,847000.0,5019000.0,46738.0
