,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,5.0,5.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,2.0044436464,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,31.042399194999998,1611400.0,1585871.322
std,7.159650536033216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6338999214039713,13291.601358251257,8693.313608965216
min,2.004335908,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,29.158724,1585000.0,1570070.0
25%,2.004408275,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,30.619769,1598000.0,1579619.0
50%,2.004469631,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,31.03943,1610000.0,1585091.5
75%,2.004494753,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,31.474635,1623000.0,1591205.25
max,2.004509665,10.0,100000.0,299999.0,299999.0,299999.0,299999.0,32.951223,1648000.0,1624342.0
