[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  17421       tick        501558          2334       1236476 
      2  17421       tick       1906825             9       3811246 
      3  17421       tick       1899516            12       3796515 
      4  17421       tick       1901583            11       3800738 
      5  17421       tick       1903421             9       3804396 
      6  17421       tick       1899107             8       3795770 
      7  17421       tick       1901448            11       3800481 
      8  17421       tick       1901229             9       3799981 
      9  17421       tick       1903842             9       3805287 
     10  17421       tick       1902131             8       3801717 
     11  17421       tick       1901064            10       3799685 
     12  17421       tick       1891349            12       3780541 
     13  17421       tick       1899901            11       3797261 
     14  17421       tick       1900037             8       3797523 
     15  17421       tick       1897739             9       3792829 
     16  17421       tick       1900222             8       3798066 
     17  17421       tick       1902623            10       3802676 
     18  17421       tick       1897891            10       3793273 
     19  17421       tick       1902884             8       3803436 
     20  17421       tick       1901598            10       3800783 
     21  17421       tick       1900703             9       3798919 
     22  17421       tick       1900344             9       3798227 
     23  17421       tick       1878559             8       3754762 
     24  17421       exit       1646891            92       3291551 
