,time,Run_1,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,15.0,15.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,3.180152413433333,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,30.174569672999997,2368910.0,2338801.68
std,0.012141600428573252,0.0,0.0,0.0,0.0,0.0,0.0,0.6392523494111866,35997.77409423727,35972.91527592738
min,3.160845263,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,28.490374,2048000.0,1973671.0
25%,3.1728406314999997,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,29.74547325,2360000.0,2326595.25
50%,3.1823614724,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,30.169021,2373000.0,2343748.0
75%,3.18421375345,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,30.604226,2386000.0,2359623.5
max,3.205169612,6.0,100000.0,1199999.0,1199999.0,1199999.0,1199999.0,32.049727,2436000.0,2404406.0
