,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
count,40.0,5.0,966.0,966.0,966.0,966.0,966.0,966.0,966.0
mean,8.396055804107501,100000.0,399999.0,399999.0,399999.0,399999.0,27.670937339544512,1806720.4968944099,1778870.4347826086
std,0.3135245997073479,0.0,0.0,0.0,0.0,0.0,0.5978058442062981,6527.78312284914,3714.1075918064494
min,8.1025794332,100000.0,399999.0,399999.0,399999.0,399999.0,25.832516,1785000.0,1767253.0
25%,8.150795809649999,100000.0,399999.0,399999.0,399999.0,399999.0,27.21973075,1798000.0,1776381.25
50%,8.317235239350001,100000.0,399999.0,399999.0,399999.0,399999.0,27.666593,1811000.0,1778703.0
75%,8.53684180425,100000.0,399999.0,399999.0,399999.0,399999.0,28.070712,1811000.0,1781401.5
max,9.081387527,100000.0,399999.0,399999.0,399999.0,399999.0,29.811531,1811000.0,1794517.0
