,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,20.0,5.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0
mean,3.611999999999999,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,55435.6148445336,0.0,0.0,0.0,5263698.094282849,1050304.8064192578,5018196.5897693075,55433.660982948844
std,0.02041671142136158,0.0,0.0,0.0,0.0,0.0,926.4291879368582,0.0,0.0,0.0,21383.66598746321,4288.170882053756,2567.45705868832,924.2238779204473
min,3.59,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,52582.0,0.0,0.0,0.0,5190000.0,1036000.0,5010000.0,52582.0
25%,3.6,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,55017.0,0.0,0.0,0.0,5252000.0,1048000.0,5019000.0,55017.0
50%,3.605,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,55504.0,0.0,0.0,0.0,5271000.0,1052000.0,5019000.0,55504.0
75%,3.61,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,55991.0,0.0,0.0,0.0,5278000.0,1053000.0,5019000.0,55991.0
max,3.65,100000.0,1300000.0,1300000.0,1300000.0,1300000.0,57452.0,0.0,0.0,0.0,5293000.0,1057000.0,5019000.0,57452.0
