[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  26769       tick         15567        631134       4658581 
      2  26769       tick          1814          9687        317863 
      3  26769       tick          1982          9649        316873 
      4  26769       tick          2118          9694        316478 
      5  26769       tick          2086          9724        317014 
      6  26769       tick          2033          9627        316980 
      7  26769       tick          1955          9730        317609 
      8  26769       tick          1750          9584        317398 
      9  26769       tick          2209          9687        316437 
     10  26769       tick          1967          9635        316797 
     11  26769       tick          2059          9645        317224 
     12  26769       tick          2086          9604        316796 
     13  26769       tick          2252          9630        316635 
     14  26769       tick          1882          9613        317169 
     15  26769       tick          1854          9777        316539 
     16  26769       tick          2082          9591        317035 
     17  26769       tick          1832          9517        317859 
     18  26769       tick          2071          9607        317697 
     19  26769       tick          1954          9611        317455 
     20  26769       tick          2034          9591        317277 
     21  26769       tick          1887          9687        317563 
     22  26769       tick          1921          9639        317001 
     23  26769       tick          1880          9603        317059 
     24  26769       tick          2152          9699        315497 
     25  26769       tick          1902          9508        317258 
     26  26769       tick          1995          9666        317374 
     27  26769       tick          1988          9589        317389 
     28  26769       tick          2017          9603        317595 
     29  26769       tick          1979          9563        316838 
     30  26769       tick          2089          9518        316580 
     31  26769       tick          1822          9496        317886 
     32  26769       tick          1839          9509        318065 
     33  26769       tick          1804          9527        317790 
     34  26769       tick          2007          9606        316081 
     35  26769       tick          1900          9797        316854 
     36  26769       tick          1832          9489        317858 
     37  26769       tick          1900          9578        317508 
     38  26769       tick          1860          9578        317564 
     39  26769       tick          1811          9537        317795 
     40  26769       tick          1879          9562        317461 
     41  26769       tick          1874          9563        317246 
     42  26769       tick          1849          9515        317763 
     43  26769       tick          1833          9292        310206 
     44  26769       tick          2114         10013        323299 
     45  26769       tick          1816          9554        317656 
     46  26769       tick          1705          9588        318222 
     47  26769       tick          1859          9550        317723 
     48  26769       tick          1853          9527        317720 
     49  26769       tick          1727          9566        318298 
     50  26769       tick          1944          9583        317519 
     51  26769       tick          1862          9645        317965 
     52  26769       exit          2043          9935        102150 
