howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min,time
0,little,decrypt,1200000,64680.0,64680.0,65856.0,74088.0,65394.866228070176,64680.0,2.0,2.0,2.0,2.0,2.0,2.0,,1176250.0,1176250.0,1176250.0,1177500.0,1176551.535087719,1176250.0,
1,little,decrypt,1200000,209150.0,210325.0,210325.0,211500.0,208180.0855263158,65912.0,5.9,5.905,5.91,5.93,5.906666666666667,5.89,0.164844876505884,1175000.0,1175000.0,1175000.0,1177500.0,1175021.929824561,1175000.0,
2,little,decrypt,1200000,341020.0,341020.0,342176.0,343332.0,338681.5745614035,69443.0,5.9,5.915,5.92,5.95,5.915000000000002,5.9,0.1650774454625796,1156250.0,1156250.0,1156250.0,1177500.0,1156592.653508772,1156250.0,
3,little,decrypt,1200000,475860.0,477015.0,478170.0,479325.0,474791.9714912281,340466.0,5.92,5.925,5.9475,6.03,5.941666666666666,5.91,0.1658216661240057,1155000.0,1155000.0,1155000.0,1162500.0,1155030.153508772,1155000.0,
4,little,decrypt,1200000,608784.0,609937.0,609937.0,613396.0,605452.8245614035,399040.0,5.93,5.9350000000000005,5.9575000000000005,6.04,5.952083333333334,5.92,0.1661123773198753,1153750.0,1153750.0,1153750.0,1160000.0,1153796.600877193,1152500.0,
