,time,UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
count,20.0,5.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0
mean,2.923,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,53533.371717171714,0.0,0.0,0.0,5453776.767676768,1088052.5252525252,5018109.090909091,53531.89595959596
std,0.005712405705774856,0.0,0.0,0.0,0.0,0.0,1234.7708986290509,0.0,0.0,0.0,11241.609191118048,2336.0862517467735,2689.1946053978486,1235.0342332969592
min,2.92,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,49173.0,0.0,0.0,0.0,5419000.0,1082000.0,5010000.0,49173.0
25%,2.92,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,52582.0,0.0,0.0,0.0,5446000.0,1087000.0,5019000.0,52582.0
50%,2.92,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,53556.0,0.0,0.0,0.0,5454000.0,1088000.0,5019000.0,53556.0
75%,2.9225,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,54530.0,0.0,0.0,0.0,5461000.0,1089000.0,5019000.0,54530.0
max,2.94,100000.0,1500000.0,1500000.0,1500000.0,1500000.0,56478.0,0.0,0.0,0.0,5507000.0,1100000.0,5019000.0,56478.0
